start_time,end_time,original_text,cleaned_text
00:12:39.600,00:12:41.110,"eyesight,",eyesight
00:12:41.110,00:12:41.120,"eyesight,",eyesight
00:12:41.120,00:12:48.710,"eyesight,",eyesight
00:12:41.120,00:12:48.710,but the spiders is even better.,spider even better
00:12:48.720,00:12:50.629,Although this young mantis can't yet,although young mantis cant yet
00:12:50.629,00:12:50.639,Although this young mantis can't yet,although young mantis cant yet
00:12:50.639,00:12:53.750,Although this young mantis can't yet,although young mantis cant yet
00:12:50.639,00:12:53.750,"fly, its long four legs evolved to catch",fly long four leg evolved catch
00:12:53.750,00:12:53.760,"fly, its long four legs evolved to catch",fly long four leg evolved catch
00:12:53.760,00:13:23.990,"fly, its long four legs evolved to catch",fly long four leg evolved catch
00:12:53.760,00:13:23.990,prey give it reach.,prey give reach
00:13:24.000,00:13:33.269,There seems to be no escape.,seems escape
00:13:33.279,00:13:35.910,But this mantis has a surprising line in,mantis surprising line
00:13:35.910,00:13:35.920,But this mantis has a surprising line in,mantis surprising line
00:13:35.920,00:13:40.069,But this mantis has a surprising line in,mantis surprising line
00:13:35.920,00:13:40.069,self-defense.,selfdefense
00:13:40.079,00:13:55.110,Kung fu praying mantis style.,kung praying mantis style
00:13:55.120,00:13:57.910,"Of course, it's all bluff",course bluff
00:13:57.910,00:13:57.920,"Of course, it's all bluff",course bluff
00:13:57.920,00:14:00.069,"Of course, it's all bluff",course bluff
00:13:57.920,00:14:00.069,trying to look bigger and confuse its,trying look bigger confuse
00:14:00.069,00:14:00.079,trying to look bigger and confuse its,trying look bigger confuse
00:14:00.079,00:14:03.990,trying to look bigger and confuse its,trying look bigger confuse
00:14:00.079,00:14:03.990,"enemy,",enemy
00:14:04.000,00:14:14.790,but it's got away with it.,got away
00:14:14.800,00:14:17.509,Just staying alive for its first few,staying alive first
00:14:17.509,00:14:17.519,Just staying alive for its first few,staying alive first
00:14:17.519,00:14:20.310,Just staying alive for its first few,staying alive first
00:14:17.519,00:14:20.310,hours is a significant accomplishment,hour significant accomplishment
00:14:20.310,00:14:20.320,hours is a significant accomplishment,hour significant accomplishment
00:14:20.320,00:14:23.990,hours is a significant accomplishment,hour significant accomplishment
00:14:20.320,00:14:23.990,for a newly hatched insect.,newly hatched insect
00:14:23.990,00:14:24.000,for a newly hatched insect.,newly hatched insect
00:14:24.000,00:14:27.030,for a newly hatched insect.,newly hatched insect
00:14:24.000,00:14:27.030,But there's still a long way to go. With,there still long way
00:14:27.030,00:14:27.040,But there's still a long way to go. With,there still long way
00:14:27.040,00:14:29.509,But there's still a long way to go. With,there still long way
00:14:27.040,00:14:29.509,"a bit of luck, in two months time, it",bit luck two month time
00:14:29.509,00:14:29.519,"a bit of luck, in two months time, it",bit luck two month time
00:14:29.519,00:14:32.150,"a bit of luck, in two months time, it",bit luck two month time
00:14:29.519,00:14:32.150,will be as big and beautiful as this,big beautiful
00:14:32.150,00:14:32.160,will be as big and beautiful as this,big beautiful
00:14:32.160,00:14:45.189,will be as big and beautiful as this,big beautiful
00:14:32.160,00:14:45.189,orchid mounted.,orchid mounted
00:14:45.199,00:14:48.389,Or maybe not.,maybe
00:14:48.389,00:14:48.399,Or maybe not.,maybe
00:14:48.399,00:14:55.350,Or maybe not.,maybe
00:14:48.399,00:14:55.350,"After all, mantids are cannibals.",mantid cannibal
00:14:55.360,00:14:57.750,"However, there are plenty more where",however plenty
00:14:57.750,00:14:57.760,"However, there are plenty more where",however plenty
00:14:57.760,00:15:01.590,"However, there are plenty more where",however plenty
00:14:57.760,00:15:01.590,that one came from.,one came
00:15:01.600,00:15:04.150,"At this time of year, polar bears on",time year polar bear
00:15:04.150,00:15:04.160,"At this time of year, polar bears on",time year polar bear
00:15:04.160,00:15:07.269,"At this time of year, polar bears on",time year polar bear
00:15:04.160,00:15:07.269,average succeed only once in [music] 20,average succeed music
00:15:07.269,00:15:07.279,average succeed only once in [music] 20,average succeed music
00:15:07.279,00:15:13.350,average succeed only once in [music] 20,average succeed music
00:15:07.279,00:15:13.350,hunts.,hunt
00:15:13.360,00:15:16.310,"If the hunter is skinny like this one,",hunter skinny like one
00:15:16.310,00:15:16.320,"If the hunter is skinny like this one,",hunter skinny like one
00:15:16.320,00:15:26.629,"If the hunter is skinny like this one,",hunter skinny like one
00:15:16.320,00:15:26.629,that may not be often enough.,may often enough
00:15:26.639,00:15:31.410,All she can do is keep trying.,keep trying
00:15:31.410,00:15:31.420,All she can do is keep trying.,keep trying
00:15:31.420,00:15:37.305,All she can do is keep trying.,keep trying
00:15:31.420,00:15:37.305,[music],music
00:15:37.315,00:15:44.510,[music],music
00:15:44.520,00:16:07.910,[music],music
00:16:07.920,00:16:10.550,"To prevent her scent betraying her, she",prevent scent betraying
00:16:10.550,00:16:10.560,"To prevent her scent betraying her, she",prevent scent betraying
00:16:10.560,00:16:13.829,"To prevent her scent betraying her, she",prevent scent betraying
00:16:10.560,00:16:13.829,makes a wide sweep to get downwind of,make wide sweep get downwind
00:16:13.829,00:16:13.839,makes a wide sweep to get downwind of,make wide sweep get downwind
00:16:13.839,00:16:26.870,makes a wide sweep to get downwind of,make wide sweep get downwind
00:16:13.839,00:16:26.870,the seal. Getting,seal getting
00:16:26.880,00:16:50.069,close.,close
00:16:50.079,00:17:36.390,She's now right behind the seal.,shes right behind seal
00:17:36.400,00:17:38.789,"Incredibly, She caught the seal",incredibly caught seal
00:17:38.789,00:17:38.799,"Incredibly, She caught the seal",incredibly caught seal
00:17:38.799,00:17:45.750,"Incredibly, She caught the seal",incredibly caught seal
00:17:38.799,00:17:45.750,underwater.,underwater
00:17:45.760,00:17:48.470,"It's only small, but even so, its",small even
00:17:48.470,00:17:48.480,"It's only small, but even so, its",small even
00:17:48.480,00:17:51.510,"It's only small, but even so, its",small even
00:17:48.480,00:17:51.510,"blubber alone will contain 100,000",blubber alone contain
00:17:51.510,00:17:51.520,"blubber alone will contain 100,000",blubber alone contain
00:17:51.520,00:17:53.909,"blubber alone will contain 100,000",blubber alone contain
00:17:51.520,00:17:53.909,"calories, enough to sustain this bear",calorie enough sustain bear
00:17:53.909,00:17:53.919,"calories, enough to sustain this bear",calorie enough sustain bear
00:17:53.919,00:18:06.310,"calories, enough to sustain this bear",calorie enough sustain bear
00:17:53.919,00:18:06.310,for a week.,week
00:18:06.320,00:18:09.029,"And in that time, she might even catch",time might even catch
00:18:09.029,00:18:09.039,"And in that time, she might even catch",time might even catch
00:18:09.039,00:18:18.630,"And in that time, she might even catch",time might even catch
00:18:09.039,00:18:18.630,another.,another
00:18:18.640,00:18:21.830,But this can't go on forever. As summer,cant forever summer
00:18:21.830,00:18:21.840,But this can't go on forever. As summer,cant forever summer
00:18:21.840,00:18:25.510,But this can't go on forever. As summer,cant forever summer
00:18:21.840,00:18:25.510,"continues, temperatures are rising.",continues temperature rising
00:18:25.510,00:18:25.520,"continues, temperatures are rising.",continues temperature rising
00:18:25.520,00:18:29.029,"continues, temperatures are rising.",continues temperature rising
00:18:25.520,00:18:29.029,"Each hunt requires [music] more energy,",hunt requires music energy
00:18:29.029,00:18:29.039,"Each hunt requires [music] more energy,",hunt requires music energy
00:18:29.039,00:18:36.870,"Each hunt requires [music] more energy,",hunt requires music energy
00:18:29.039,00:18:36.870,draining the bears of their reserves.,draining bear reserve
00:18:36.880,00:18:40.870,"Kenya, famous for its big cats, the",kenya famous big cat
00:18:40.870,00:18:40.880,"Kenya, famous for its big cats, the",kenya famous big cat
00:18:40.880,00:18:55.110,"Kenya, famous for its big cats, the",kenya famous big cat
00:18:40.880,00:18:55.110,supreme hunters.,supreme hunter
00:18:55.120,00:18:57.270,Cheetahs specialize in hunting [music],cheetah specialize hunting music
00:18:57.270,00:18:57.280,Cheetahs specialize in hunting [music],cheetah specialize hunting music
00:18:57.280,00:19:00.789,Cheetahs specialize in hunting [music],cheetah specialize hunting music
00:18:57.280,00:19:00.789,"at speed. Though fast, they're fragile",speed though fast theyre fragile
00:19:00.789,00:19:00.799,"at speed. Though fast, they're fragile",speed though fast theyre fragile
00:19:00.799,00:19:03.633,"at speed. Though fast, they're fragile",speed though fast theyre fragile
00:19:00.799,00:19:03.633,creatures built to sprint after small,creature built sprint small
00:19:03.633,00:19:03.643,creatures built to sprint after small,creature built sprint small
00:19:03.643,00:19:05.669,creatures built to sprint after small,creature built sprint small
00:19:03.643,00:19:05.669,[music] prey.,music prey
00:19:05.669,00:19:05.679,[music] prey.,music prey
00:19:05.679,00:19:07.270,[music] prey.,music prey
00:19:05.679,00:19:07.270,They don't have the strength or weight,dont strength weight
00:19:07.270,00:19:07.280,They don't have the strength or weight,dont strength weight
00:19:07.280,00:19:12.630,They don't have the strength or weight,dont strength weight
00:19:07.280,00:19:12.630,of a lion to bring down larger animals.,lion bring larger animal
00:19:12.640,00:19:15.270,This male is different. He doesn't hunt,male different doesnt hunt
00:19:15.270,00:19:15.280,This male is different. He doesn't hunt,male different doesnt hunt
00:19:15.280,00:19:17.029,This male is different. He doesn't hunt,male different doesnt hunt
00:19:15.280,00:19:17.029,alone. He's [music] learned that there,alone he music learned
00:19:17.029,00:19:17.039,alone. He's [music] learned that there,alone he music learned
00:19:17.039,00:19:32.870,alone. He's [music] learned that there,alone he music learned
00:19:17.039,00:19:32.870,is strength in numbers.,strength number
00:19:32.880,00:19:35.750,But here there are not just two but,two
00:19:35.750,00:19:35.760,But here there are not just two but,two
00:19:35.760,00:19:37.990,But here there are not just two but,two
00:19:35.760,00:19:37.990,three cheaters.,three cheater
00:19:37.990,00:19:38.000,three cheaters.,three cheater
00:19:38.000,00:19:46.470,three cheaters.,three cheater
00:19:38.000,00:19:46.470,A band of brothers.,band brother
00:19:46.480,00:19:48.870,They have changed their tactics and by,changed tactic
00:19:48.870,00:19:48.880,They have changed their tactics and by,changed tactic
00:19:48.880,00:19:50.870,They have changed their tactics and by,changed tactic
00:19:48.880,00:19:50.870,doing so have taken their prey by,taken prey
00:19:50.870,00:19:50.880,doing so have taken their prey by,taken prey
00:19:50.880,00:19:53.669,doing so have taken their prey by,taken prey
00:19:50.880,00:19:53.669,surprise.,surprise
00:19:53.669,00:19:53.679,surprise.,surprise
00:19:53.679,00:19:56.033,surprise.,surprise
00:19:53.679,00:19:56.033,They have learned that working together,learned working together
00:19:56.033,00:19:56.043,They have learned that working together,learned working together
00:19:56.043,00:20:03.510,They have learned that working together,learned working together
00:19:56.043,00:20:03.510,[music] they can bring down large prey.,music bring large prey
00:20:03.520,00:20:05.430,"An ostrich,",ostrich
00:20:05.430,00:20:05.440,"An ostrich,",ostrich
00:20:05.440,00:20:08.070,"An ostrich,",ostrich
00:20:05.440,00:20:08.070,a bird that towers over a cheetah and is,bird tower cheetah
00:20:08.070,00:20:08.080,a bird that towers over a cheetah and is,bird tower cheetah
00:20:08.080,00:20:11.190,a bird that towers over a cheetah and is,bird tower cheetah
00:20:08.080,00:20:11.190,more than twice as heavy.,twice heavy
00:20:11.190,00:20:11.200,more than twice as heavy.,twice heavy
00:20:11.200,00:20:13.750,more than twice as heavy.,twice heavy
00:20:11.200,00:20:13.750,"It can't fly to escape danger, but it",cant fly escape danger
00:20:13.750,00:20:13.760,"It can't fly to escape danger, but it",cant fly escape danger
00:20:13.760,00:20:17.909,"It can't fly to escape danger, but it",cant fly escape danger
00:20:13.760,00:20:17.909,can lash out with a deadly kick.,lash deadly kick
00:20:17.909,00:20:17.919,can lash out with a deadly kick.,lash deadly kick
00:20:17.919,00:20:27.669,can lash out with a deadly kick.,lash deadly kick
00:20:17.919,00:20:27.669,A female unaware as yet of any danger.,female unaware yet danger
00:20:27.679,00:20:29.750,"Even with three of them, this is still",even three still
00:20:29.750,00:20:29.760,"Even with three of them, this is still",even three still
00:20:29.760,00:20:33.029,"Even with three of them, this is still",even three still
00:20:29.760,00:20:33.029,"highly risky. If one gets injured, the",highly risky one get injured
00:20:33.029,00:20:33.039,"highly risky. If one gets injured, the",highly risky one get injured
00:20:33.039,00:20:35.110,"highly risky. If one gets injured, the",highly risky one get injured
00:20:33.039,00:20:35.110,other two couldn't hope to tackle such,two couldnt hope tackle
